                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.28434,                 1.6124,                0.90399,                0.80292,                0.76558,                0.86116,                 0.8479,                0.23341,                0.88654,                 0.8625,             9.3007e-06,             9.3007e-06,             9.3007e-06
                      1,                 0.2892,                 1.6081,                0.90304,                0.80529,                 0.8004,                0.88137,                 0.8685,                0.23361,                0.82244,                 0.8615,             1.6789e-05,             1.6789e-05,             1.6789e-05
                      2,                0.28916,                 1.5729,                 0.9047,                0.80999,                0.82175,                0.89513,                0.88184,                0.22829,                0.80338,                0.85908,              2.243e-05,              2.243e-05,              2.243e-05
                      3,                0.28856,                 1.5446,                 0.9026,                0.79645,                 0.8312,                0.89658,                0.88415,                0.22439,                0.79636,                 0.8572,             1.9684e-05,             1.9684e-05,             1.9684e-05
                      4,                0.28165,                 1.4868,                0.89807,                0.83384,                0.80031,                0.88868,                0.87914,                0.21599,                0.80412,                0.85434,             1.9684e-05,             1.9684e-05,             1.9684e-05
                      5,                0.27581,                 1.4458,                0.89307,                0.85204,                0.81809,                0.90946,                 0.8989,                0.21734,                0.73321,                0.85537,             1.6912e-05,             1.6912e-05,             1.6912e-05
                      6,                0.27282,                 1.4079,                0.89116,                0.85323,                0.83475,                0.91686,                0.90718,                 0.2136,                0.70789,                0.85089,              1.414e-05,              1.414e-05,              1.414e-05
                      7,                0.26723,                 1.3642,                0.88706,                0.85754,                0.85338,                0.92791,                0.91729,                0.21553,                0.67393,                 0.8534,             1.1368e-05,             1.1368e-05,             1.1368e-05
                      8,                0.26404,                  1.326,                0.89069,                0.86661,                0.85326,                0.92615,                0.91558,                0.21191,                0.65704,                0.85061,              8.596e-06,              8.596e-06,              8.596e-06
                      9,                0.26095,                 1.3145,                0.88918,                0.87104,                0.84338,                0.92459,                0.91507,                0.20767,                 0.6566,                 0.8499,              5.824e-06,              5.824e-06,              5.824e-06
