                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8702,                 3.3753,                 1.2506,                0.02065,                      1,                0.32297,                 0.2533,                0.91279,                 3.6208,                 1.3009,             0.00018676,             0.00018676,             0.00018676
                      1,                0.84385,                 2.4378,                 1.2377,                0.83481,                0.40404,                0.67044,                0.45243,                0.88708,                 3.1565,                 1.4423,             0.00036137,             0.00036137,             0.00036137
                      2,                0.81055,                 1.8871,                 1.1799,                0.66193,                0.51747,                0.70447,                 0.5705,                0.80752,                 2.3116,                 1.3972,             0.00051683,             0.00051683,             0.00051683
                      3,                0.77139,                 1.5633,                 1.1586,                0.75199,                0.81001,                 0.8819,                0.70443,                 0.8135,                  1.894,                 1.2425,             0.00056795,             0.00056795,             0.00056795
                      4,                0.69143,                 1.2925,                 1.0944,                0.66857,                0.85799,                0.90285,                0.76017,                0.70028,                 1.7217,                 1.2538,             0.00056795,             0.00056795,             0.00056795
                      5,                0.66409,                 1.2382,                  1.074,                0.87142,                0.60616,                0.81255,                0.68972,                0.64371,                  2.103,                 1.2116,             0.00053493,             0.00053493,             0.00053493
                      6,                0.61767,                 1.0904,                 1.0366,                0.83719,                 0.7816,                0.96485,                0.83751,                 0.6286,                 1.4489,                 1.1389,             0.00050192,             0.00050192,             0.00050192
                      7,                0.61498,                 1.0245,                 1.0408,                0.83404,                0.97638,                  0.995,                0.87736,                0.59582,                 1.1847,                 1.1058,              0.0004689,              0.0004689,              0.0004689
                      8,                0.60593,                0.97849,                 1.0323,                0.70742,                0.94409,                0.97985,                0.87511,                0.48072,                 1.2255,                 1.0128,             0.00043588,             0.00043588,             0.00043588
                      9,                0.62812,                0.92917,                 1.0266,                0.84288,                0.96864,                  0.995,                0.91887,                0.49767,                 1.0031,                0.98464,             0.00040287,             0.00040287,             0.00040287
                     10,                0.45818,                0.99339,                0.98915,                0.77498,                0.97891,                  0.995,                0.92261,                0.44799,                 1.1021,                0.97042,             0.00036985,             0.00036985,             0.00036985
                     11,                0.45215,                0.90475,                 1.0005,                0.82167,                0.93786,                  0.995,                 0.8638,                0.55091,                 1.0762,                 1.0305,             0.00033683,             0.00033683,             0.00033683
                     12,                0.42983,                0.84615,                0.97702,                 0.8795,                0.96229,                  0.995,                0.91583,                0.43668,                0.90748,                0.93232,             0.00030382,             0.00030382,             0.00030382
                     13,                0.40606,                0.84125,                0.95316,                0.95903,                      1,                  0.995,                0.94748,                0.37413,                0.77615,                 0.8845,              0.0002708,              0.0002708,              0.0002708
                     14,                0.37518,                0.77371,                0.93656,                0.94314,                0.99361,                  0.995,                0.91808,                0.40335,                 0.7861,                0.90658,             0.00023779,             0.00023779,             0.00023779
                     15,                 0.3876,                 0.7699,                0.94222,                0.94575,                0.99048,                  0.995,                0.89545,                0.48922,                  0.795,                0.97623,             0.00020477,             0.00020477,             0.00020477
                     16,                0.34488,                0.70502,                0.92938,                0.93357,                      1,                  0.995,                0.94745,                0.38024,                 0.6994,                0.87663,             0.00017175,             0.00017175,             0.00017175
                     17,                0.37279,                0.70444,                0.93189,                0.96902,                      1,                  0.995,                0.93017,                0.33276,                0.68129,                0.86074,             0.00013874,             0.00013874,             0.00013874
                     18,                0.30745,                0.65491,                0.90352,                0.97794,                      1,                  0.995,                0.95425,                0.34371,                0.67329,                0.84647,             0.00010572,             0.00010572,             0.00010572
                     19,                0.29423,                0.62213,                0.88769,                0.96727,                      1,                  0.995,                0.96104,                0.30645,                0.63578,                0.82403,             7.2703e-05,             7.2703e-05,             7.2703e-05
