                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.30058,                  2.393,                0.92542,                0.64344,                0.71256,                0.77692,                0.75837,                0.27122,                 1.3275,                 0.8695,             6.6537e-06,             6.6537e-06,             6.6537e-06
                      1,                0.30389,                 2.3447,                0.92656,                0.69746,                0.69659,                0.79706,                0.77679,                0.27935,                 1.2733,                0.87209,             1.2002e-05,             1.2002e-05,             1.2002e-05
                      2,                0.30253,                 2.2797,                0.92322,                0.71778,                0.70694,                0.82254,                0.80355,                0.26809,                  1.215,                0.86445,              1.603e-05,              1.603e-05,              1.603e-05
                      3,                0.29799,                 2.1787,                0.91829,                0.72367,                 0.7332,                0.84802,                0.82945,                 0.2639,                 1.1192,                0.85895,              1.406e-05,              1.406e-05,              1.406e-05
                      4,                0.29702,                 2.0933,                0.91594,                0.70428,                0.76938,                0.86097,                0.84184,                0.26039,                 1.0742,                0.85568,              1.406e-05,              1.406e-05,              1.406e-05
                      5,                0.28892,                 2.0035,                0.91196,                0.72122,                0.80592,                0.88842,                0.86812,                0.26677,                 1.0066,                0.85913,              1.208e-05,              1.208e-05,              1.208e-05
                      6,                0.28324,                 1.9317,                0.90584,                 0.7687,                 0.7765,                0.90086,                0.88499,                0.25056,                0.96126,                0.85103,               1.01e-05,               1.01e-05,               1.01e-05
                      7,                0.28193,                  1.876,                0.90693,                0.79367,                 0.7907,                0.91269,                0.89652,                0.24918,                0.91862,                0.84935,               8.12e-06,               8.12e-06,               8.12e-06
                      8,                0.27684,                 1.8267,                0.90288,                0.74931,                0.82994,                0.91533,                0.90015,                 0.2458,                0.89132,                0.84905,               6.14e-06,               6.14e-06,               6.14e-06
                      9,                0.27248,                 1.7873,                0.90034,                 0.7648,                 0.8217,                0.92301,                0.90874,                 0.2406,                0.86774,                 0.8448,               4.16e-06,               4.16e-06,               4.16e-06
