                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.24334,                 1.7127,                0.87575,                0.59155,                0.50243,                0.54972,                0.54155,                0.28919,                 2.3571,                0.91093,              0.0033252,              0.0033252,              0.0033252
                      1,                0.25953,                 1.1554,                0.88014,                0.61332,                0.57947,                0.63353,                0.62179,                 0.3101,                 1.6994,                0.93916,              0.0065267,              0.0065267,              0.0065267
                      2,                0.28123,                 1.0743,                0.88486,                0.56398,                0.62851,                0.67073,                0.65048,                0.33667,                 1.5511,                0.95013,              0.0095962,              0.0095962,              0.0095962
                      3,                 0.3124,                 1.1481,                0.89779,                0.59902,                0.61239,                0.67845,                0.65869,                0.32968,                 1.4216,                0.94117,               0.009406,               0.009406,               0.009406
                      4,                0.31193,                 1.1091,                0.89729,                0.53736,                0.65771,                0.66425,                0.64374,                0.34251,                 1.4836,                0.95597,               0.009406,               0.009406,               0.009406
                      5,                0.31514,                 1.0828,                0.89848,                0.52844,                0.67647,                0.68478,                 0.6604,                0.32585,                 1.3232,                0.93625,               0.009208,               0.009208,               0.009208
                      6,                0.31228,                 1.0673,                0.89485,                0.52867,                0.63783,                0.64693,                0.62965,                0.32583,                 1.4898,                0.93695,                0.00901,                0.00901,                0.00901
                      7,                0.30949,                 1.0445,                0.89509,                0.52886,                0.64638,                0.66555,                0.64299,                0.33812,                 1.4795,                0.94198,               0.008812,               0.008812,               0.008812
                      8,                0.30719,                 1.0375,                0.89415,                0.54979,                0.70547,                  0.701,                0.67656,                0.32845,                 1.2755,                0.93573,               0.008614,               0.008614,               0.008614
                      9,                0.30699,                 1.0084,                 0.8913,                0.57382,                0.67916,                0.69856,                0.67986,                0.31865,                 1.2716,                0.93295,               0.008416,               0.008416,               0.008416
                     10,                0.30284,                0.99516,                0.89145,                0.54108,                0.71236,                0.68963,                0.67186,                0.30423,                 1.3058,                0.90958,               0.008218,               0.008218,               0.008218
                     11,                0.29941,                 0.9779,                0.88932,                0.55334,                0.71189,                0.70255,                0.68522,                  0.309,                 1.2565,                0.93682,                0.00802,                0.00802,                0.00802
                     12,                0.29782,                0.96518,                0.88839,                0.53578,                0.74647,                0.70823,                0.68618,                0.32779,                 1.2595,                0.93242,               0.007822,               0.007822,               0.007822
                     13,                0.29445,                0.93367,                0.88827,                0.55366,                0.69276,                0.69302,                0.67615,                0.29738,                 1.2625,                 0.9206,               0.007624,               0.007624,               0.007624
                     14,                0.29279,                0.92898,                 0.8851,                0.52998,                 0.6885,                0.67317,                0.65828,                0.29096,                 1.3604,                0.90439,               0.007426,               0.007426,               0.007426
                     15,                0.29017,                0.91298,                0.88614,                0.51464,                0.70987,                0.68384,                0.66561,                 0.3125,                 1.3488,                0.92766,               0.007228,               0.007228,               0.007228
                     16,                0.28795,                0.90143,                0.88426,                0.54913,                0.74581,                0.70925,                0.69225,                0.29461,                 1.1768,                0.90712,                0.00703,                0.00703,                0.00703
                     17,                0.28683,                0.90365,                0.88607,                0.55827,                0.72042,                0.70503,                0.69075,                0.27652,                 1.1732,                0.88972,               0.006832,               0.006832,               0.006832
                     18,                 0.2823,                 0.8753,                0.88109,                0.55713,                 0.7057,                0.69395,                0.67529,                0.30006,                 1.2476,                0.91749,               0.006634,               0.006634,               0.006634
                     19,                0.28154,                0.86848,                0.88408,                0.58777,                0.70038,                0.70867,                 0.6938,                0.27878,                 1.1998,                0.89448,               0.006436,               0.006436,               0.006436
                     20,                0.28245,                0.86041,                0.88426,                0.53582,                0.74543,                0.70415,                0.68762,                0.28455,                 1.2173,                0.89019,               0.006238,               0.006238,               0.006238
                     21,                0.27653,                0.83999,                0.87867,                0.51965,                0.69025,                0.67429,                 0.6624,                0.26519,                 1.3711,                0.88196,                0.00604,                0.00604,                0.00604
                     22,                0.27419,                0.82964,                 0.8805,                0.53896,                0.72449,                0.69557,                0.67797,                0.28745,                 1.2426,                0.90103,               0.005842,               0.005842,               0.005842
                     23,                 0.2738,                0.82218,                0.87978,                0.54523,                0.71832,                0.68976,                0.67663,                0.26847,                 1.2483,                0.88873,               0.005644,               0.005644,               0.005644
                     24,                0.27004,                0.80791,                 0.8778,                0.56872,                0.70529,                0.69201,                0.68089,                0.25487,                 1.2792,                0.87345,               0.005446,               0.005446,               0.005446
                     25,                0.27048,                0.79459,                0.87635,                 0.5283,                0.74418,                0.69797,                 0.6854,                0.27232,                  1.274,                0.88568,               0.005248,               0.005248,               0.005248
                     26,                 0.2666,                0.78422,                0.87633,                0.51729,                0.75308,                0.68958,                0.67397,                0.28763,                 1.3618,                0.87956,                0.00505,                0.00505,                0.00505
                     27,                0.26456,                0.77655,                 0.8748,                0.53004,                0.69835,                0.68318,                0.67198,                0.26565,                  1.384,                0.88356,               0.004852,               0.004852,               0.004852
                     28,                0.26265,                0.76327,                0.87391,                0.55097,                0.70544,                0.68796,                0.67646,                0.25051,                 1.3454,                0.86983,               0.004654,               0.004654,               0.004654
                     29,                0.26056,                0.75396,                0.87393,                0.52882,                0.71846,                0.69239,                0.68122,                0.26359,                 1.3628,                0.87951,               0.004456,               0.004456,               0.004456
