                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.36026,                 1.9485,                0.92887,                0.79388,                0.74063,                0.84406,                0.83105,                0.23372,                0.99793,                0.86629,              8.596e-06,              8.596e-06,              8.596e-06
                     37,                0.35959,                 1.9329,                0.93341,                0.77764,                0.74257,                0.84689,                0.83376,                0.23167,                0.99335,                0.86426,             8.0416e-06,             8.0416e-06,             8.0416e-06
                     38,                0.35724,                 1.9081,                0.92923,                0.78652,                0.75262,                0.85169,                0.83914,                0.22848,                0.95957,                0.86253,             7.4872e-06,             7.4872e-06,             7.4872e-06
                     39,                0.35438,                 1.8998,                0.93032,                0.74505,                0.78047,                0.85685,                0.84302,                0.23166,                0.94777,                0.86471,             6.9328e-06,             6.9328e-06,             6.9328e-06
                     40,                0.31614,                  1.828,                0.92772,                0.74899,                0.74298,                0.82497,                0.81136,                0.24302,                0.99769,                0.86843,             6.3784e-06,             6.3784e-06,             6.3784e-06
                     41,                0.30102,                 1.7475,                0.91566,                0.73972,                0.77155,                0.83956,                0.82696,                0.23711,                0.95392,                0.86544,              5.824e-06,              5.824e-06,              5.824e-06
                     42,                0.29582,                 1.7024,                0.91088,                0.74508,                0.77609,                0.85107,                0.83904,                0.23228,                0.92114,                0.86347,             5.2696e-06,             5.2696e-06,             5.2696e-06
                     43,                0.29265,                 1.6977,                0.90861,                0.75391,                0.77594,                0.85068,                0.83852,                0.23269,                 0.9124,                0.86313,             4.7152e-06,             4.7152e-06,             4.7152e-06
                     44,                0.29001,                 1.6736,                0.90792,                0.77171,                0.76097,                0.85363,                0.84142,                0.22992,                 0.9035,                0.86165,             4.1608e-06,             4.1608e-06,             4.1608e-06
                     45,                0.28899,                  1.659,                0.90952,                0.77823,                0.77294,                0.85921,                0.84718,                0.22919,                 0.8875,                0.86109,             3.6064e-06,             3.6064e-06,             3.6064e-06
                     46,                0.28669,                 1.6428,                0.90703,                 0.7501,                0.78707,                 0.8616,                0.85014,                0.22705,                0.88627,                0.86053,              3.052e-06,              3.052e-06,              3.052e-06
                     47,                0.28307,                 1.6262,                0.90497,                0.77735,                0.78088,                0.86918,                 0.8578,                 0.2258,                0.86155,                 0.8601,             2.4976e-06,             2.4976e-06,             2.4976e-06
                     48,                0.28392,                 1.6143,                0.90424,                0.78096,                0.79181,                0.87096,                 0.8597,                0.22585,                0.85802,                0.85959,             1.9432e-06,             1.9432e-06,             1.9432e-06
                     49,                0.28238,                 1.6141,                0.90481,                0.79213,                0.78504,                0.87166,                0.86011,                0.22551,                0.85535,                0.85952,             1.3888e-06,             1.3888e-06,             1.3888e-06
