                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79171,                 5.5269,                 1.1876,                0.00381,                 0.0893,                0.00431,                 0.0041,                0.35502,                  4.635,                0.88901,             9.3007e-06,             9.3007e-06,             9.3007e-06
                      1,                 0.6447,                 5.2181,                 1.0861,                 0.0033,                0.37393,                0.01224,                0.01154,                0.35367,                 4.2314,                0.89034,             1.8265e-05,             1.8265e-05,             1.8265e-05
                      2,                0.58512,                 4.9512,                 1.0513,                0.00507,                0.61843,                0.02602,                0.02458,                0.34527,                 3.9456,                0.89461,              2.686e-05,              2.686e-05,              2.686e-05
                      3,                0.55755,                 4.6943,                 1.0422,                0.61536,                0.04656,                0.05088,                0.04952,                0.33284,                 3.6207,                0.91598,             2.6337e-05,             2.6337e-05,             2.6337e-05
                      4,                0.53886,                 4.4469,                  1.036,                0.55931,                0.09842,                0.09677,                0.09375,                0.33204,                 3.2991,                0.92562,             2.6337e-05,             2.6337e-05,             2.6337e-05
                      5,                0.52352,                 4.1989,                 1.0285,                0.51926,                0.17074,                0.15116,                0.14629,                0.32362,                 3.0459,                 0.9287,             2.5782e-05,             2.5782e-05,             2.5782e-05
                      6,                0.50306,                 3.9805,                  1.016,                0.53853,                0.20795,                0.21531,                0.20676,                 0.3246,                 2.8789,                0.92834,             2.5228e-05,             2.5228e-05,             2.5228e-05
                      7,                0.50065,                 3.8103,                 1.0199,                0.52324,                0.28411,                 0.2776,                 0.2684,                0.30987,                   2.65,                0.91845,             2.4674e-05,             2.4674e-05,             2.4674e-05
                      8,                0.47408,                 3.6374,                 1.0021,                0.46292,                0.37632,                 0.3394,                0.32892,                0.30575,                 2.4746,                0.91581,             2.4119e-05,             2.4119e-05,             2.4119e-05
                      9,                0.47528,                  3.511,                 1.0014,                0.48972,                 0.3809,                0.38772,                0.37511,                0.30146,                  2.348,                0.91257,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     10,                0.46128,                  3.378,                0.99282,                0.53284,                0.43583,                0.44302,                0.42998,                0.30074,                 2.2401,                0.91006,              2.301e-05,              2.301e-05,              2.301e-05
                     11,                0.45444,                 3.2635,                0.98881,                  0.578,                0.45546,                0.48427,                0.47071,                0.28631,                 2.1107,                0.90261,             2.2456e-05,             2.2456e-05,             2.2456e-05
                     12,                0.45006,                 3.1577,                0.98582,                0.52821,                0.50907,                0.52453,                0.51159,                 0.2874,                 2.0192,                 0.9007,             2.1902e-05,             2.1902e-05,             2.1902e-05
                     13,                0.44028,                 3.0548,                0.97903,                0.55747,                0.52043,                0.55078,                0.53695,                 0.2832,                 1.9069,                0.89969,             2.1347e-05,             2.1347e-05,             2.1347e-05
                     14,                0.43353,                 2.9706,                0.97642,                0.57522,                0.52915,                 0.5924,                0.57687,                 0.2829,                 1.8427,                0.89684,             2.0793e-05,             2.0793e-05,             2.0793e-05
                     15,                0.42775,                 2.8671,                0.97229,                0.61522,                0.54995,                0.61295,                0.59764,                0.28149,                 1.7718,                  0.896,             2.0238e-05,             2.0238e-05,             2.0238e-05
                     16,                0.42239,                 2.7889,                0.96854,                0.61372,                0.58108,                0.64142,                0.62681,                0.26997,                 1.6861,                  0.889,             1.9684e-05,             1.9684e-05,             1.9684e-05
                     17,                0.41373,                 2.7046,                 0.9634,                0.64957,                0.57769,                0.67149,                0.65794,                0.26457,                 1.5901,                0.88735,              1.913e-05,              1.913e-05,              1.913e-05
                     18,                0.40861,                 2.6412,                0.95763,                 0.6474,                0.60287,                0.68326,                0.66841,                0.26829,                 1.5582,                0.88887,             1.8575e-05,             1.8575e-05,             1.8575e-05
                     19,                0.40772,                  2.564,                0.96034,                0.64334,                0.64129,                0.70637,                0.69153,                0.25743,                 1.4831,                0.88105,             1.8021e-05,             1.8021e-05,             1.8021e-05
                     20,                0.39804,                 2.5089,                 0.9496,                0.65648,                0.65204,                0.72568,                0.70976,                0.26081,                 1.4248,                0.88285,             1.7466e-05,             1.7466e-05,             1.7466e-05
                     21,                0.40058,                 2.4581,                0.95428,                0.67068,                0.65053,                0.73712,                0.72368,                0.25705,                  1.385,                0.88208,             1.6912e-05,             1.6912e-05,             1.6912e-05
                     22,                0.39664,                 2.3973,                0.95553,                 0.6956,                0.64186,                0.74535,                0.73063,                0.25792,                 1.3505,                0.88176,             1.6358e-05,             1.6358e-05,             1.6358e-05
                     23,                 0.3929,                 2.3449,                0.95354,                 0.7533,                0.62982,                0.75026,                0.73706,                0.25069,                 1.3275,                0.87808,             1.5803e-05,             1.5803e-05,             1.5803e-05
                     24,                0.39108,                 2.3165,                0.95155,                0.68383,                0.67974,                0.76183,                0.74782,                0.25161,                 1.2835,                0.87767,             1.5249e-05,             1.5249e-05,             1.5249e-05
                     25,                0.38604,                 2.2566,                 0.9441,                0.68058,                0.69414,                0.76643,                0.75236,                0.24965,                 1.2757,                0.87671,             1.4694e-05,             1.4694e-05,             1.4694e-05
                     26,                0.38115,                 2.2202,                0.94221,                0.72723,                0.68561,                0.78164,                0.76646,                0.24878,                 1.2187,                0.87644,              1.414e-05,              1.414e-05,              1.414e-05
                     27,                0.37524,                 2.1653,                 0.9407,                0.72903,                0.69692,                0.79577,                0.78136,                0.24016,                 1.1802,                0.87162,             1.3586e-05,             1.3586e-05,             1.3586e-05
                     28,                0.37648,                 2.1582,                0.94077,                0.72998,                0.70033,                0.80122,                0.78834,                0.24155,                 1.1549,                0.87152,             1.3031e-05,             1.3031e-05,             1.3031e-05
                     29,                0.37636,                 2.1273,                0.94228,                0.75883,                0.70254,                0.80219,                0.78765,                0.24196,                 1.1429,                0.87156,             1.2477e-05,             1.2477e-05,             1.2477e-05
                     30,                0.37495,                 2.0926,                0.93952,                0.74674,                0.71172,                0.81123,                0.79668,                0.24402,                 1.1102,                 0.8724,             1.1922e-05,             1.1922e-05,             1.1922e-05
                     31,                0.36887,                 2.0421,                 0.9378,                 0.7479,                 0.7133,                0.81697,                0.80318,                0.23842,                 1.0945,                0.86914,             1.1368e-05,             1.1368e-05,             1.1368e-05
                     32,                0.36454,                 2.0275,                0.93374,                0.80867,                 0.6943,                0.81983,                0.80632,                0.23721,                 1.0777,                0.86847,             1.0814e-05,             1.0814e-05,             1.0814e-05
                     33,                0.36589,                 1.9981,                0.93653,                0.72861,                0.74906,                0.82638,                0.81284,                0.23891,                 1.0537,                0.86874,             1.0259e-05,             1.0259e-05,             1.0259e-05
                     34,                0.35942,                 1.9872,                0.93149,                0.73036,                0.74851,                0.83123,                 0.8181,                0.23287,                 1.0304,                0.86591,             9.7048e-06,             9.7048e-06,             9.7048e-06
                     35,                0.36504,                  1.963,                0.93664,                0.77954,                0.73725,                 0.8411,                 0.8282,                0.23204,                 1.0053,                0.86518,             9.1504e-06,             9.1504e-06,             9.1504e-06
