                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.65943,                 5.3521,                 1.0792,                0.19558,                 0.2728,                0.02146,                0.01904,                0.52019,                 4.1448,                0.99073,              0.0033269,              0.0033269,              0.0033269
                      1,                0.60444,                 4.2047,                 1.0472,                0.54618,                0.28662,                0.19709,                0.18165,                0.43616,                 2.9119,                0.96265,              0.0065283,              0.0065283,              0.0065283
                      2,                0.59451,                 3.2988,                 1.0255,                0.49461,                0.37592,                0.26753,                0.24044,                0.50535,                 2.9158,                0.99883,              0.0095978,              0.0095978,              0.0095978
                      3,                0.58161,                 2.8699,                 1.0147,                 0.5038,                0.52075,                0.50953,                0.47706,                0.40673,                 1.9777,                0.93831,               0.009406,               0.009406,               0.009406
                      4,                0.52758,                 2.4684,                 0.9846,                0.60177,                0.50297,                 0.5623,                0.52007,                0.42968,                 1.8553,                0.92918,               0.009406,               0.009406,               0.009406
                      5,                0.48968,                  2.169,                 0.9679,                0.59185,                0.51422,                 0.5777,                0.54543,                0.36837,                 1.9864,                0.89439,               0.009208,               0.009208,               0.009208
                      6,                0.46399,                 1.9429,                0.95362,                0.63981,                0.70719,                0.77307,                0.73838,                0.34119,                 1.2425,                 0.8741,                0.00901,                0.00901,                0.00901
                      7,                0.44507,                 1.7396,                0.94668,                0.62253,                0.75305,                0.80312,                0.77031,                0.32738,                 1.1042,                0.86977,               0.008812,               0.008812,               0.008812
                      8,                0.43127,                 1.5584,                 0.9403,                0.63375,                0.78416,                0.84617,                0.80795,                 0.3358,                 1.0073,                0.87391,               0.008614,               0.008614,               0.008614
                      9,                 0.4152,                 1.4395,                0.93337,                0.62444,                0.70687,                0.80792,                0.78428,                0.28964,                 1.1938,                0.84802,               0.008416,               0.008416,               0.008416
                     10,                0.40521,                 1.3289,                0.92852,                0.71535,                0.80605,                0.88302,                0.85736,                0.28599,                0.83983,                0.84713,               0.008218,               0.008218,               0.008218
                     11,                 0.3936,                 1.2347,                0.92365,                0.75183,                0.84189,                0.92896,                 0.9059,                0.27229,                0.67922,                0.83802,                0.00802,                0.00802,                0.00802
                     12,                0.38324,                 1.1631,                0.91914,                0.78272,                0.85555,                0.94641,                0.92712,                0.25645,                  0.611,                0.82823,               0.007822,               0.007822,               0.007822
                     13,                0.37668,                 1.1131,                0.91766,                0.80575,                0.88616,                0.96631,                0.94278,                0.26995,                 0.5191,                0.83679,               0.007624,               0.007624,               0.007624
                     14,                0.36744,                 1.0452,                0.91131,                0.80646,                0.91159,                0.96609,                0.94656,                0.25355,                0.49986,                0.82599,               0.007426,               0.007426,               0.007426
                     15,                 0.3575,                0.99786,                0.90847,                0.83933,                0.91621,                0.97388,                0.95903,                0.24119,                0.42685,                0.82308,               0.007228,               0.007228,               0.007228
                     16,                0.35216,                0.95954,                0.90595,                0.85116,                 0.9187,                0.97892,                0.96431,                0.23467,                0.39282,                0.81922,                0.00703,                0.00703,                0.00703
                     17,                0.34671,                 0.9235,                0.90307,                0.86078,                0.94549,                0.98518,                0.97223,                0.22845,                0.35619,                0.81531,               0.006832,               0.006832,               0.006832
                     18,                0.34131,                0.89277,                0.90384,                0.88736,                0.95056,                0.99042,                0.98092,                0.21345,                0.30991,                0.80992,               0.006634,               0.006634,               0.006634
                     19,                0.33561,                 0.8558,                0.89875,                0.89994,                0.94736,                0.98686,                0.97769,                0.20984,                0.29576,                0.80693,               0.006436,               0.006436,               0.006436
                     20,                0.32729,                0.82414,                0.89493,                0.91592,                0.95956,                0.99204,                0.98441,                0.20278,                0.25969,                0.80442,               0.006238,               0.006238,               0.006238
                     21,                0.32197,                0.79619,                0.89382,                0.92456,                0.95486,                0.99123,                0.98421,                0.19915,                0.25216,                0.80019,                0.00604,                0.00604,                0.00604
                     22,                0.31833,                0.76772,                0.89278,                0.93936,                0.96138,                0.99329,                0.98755,                0.18932,                0.22596,                0.79893,               0.005842,               0.005842,               0.005842
                     23,                0.31412,                0.75109,                0.89241,                0.93635,                0.96002,                0.99214,                0.98645,                0.19363,                0.23517,                0.79888,               0.005644,               0.005644,               0.005644
                     24,                0.30827,                0.72111,                0.88741,                0.93673,                0.96492,                0.99248,                0.98816,                 0.1818,                0.21347,                0.79481,               0.005446,               0.005446,               0.005446
                     25,                0.30384,                0.71465,                0.88934,                0.95559,                 0.9746,                0.99429,                0.99054,                0.18146,                0.19558,                0.79346,               0.005248,               0.005248,               0.005248
                     26,                0.30173,                0.69477,                0.88742,                0.95916,                0.97991,                0.99449,                 0.9905,                0.17437,                0.18101,                0.79136,                0.00505,                0.00505,                0.00505
                     27,                0.29623,                0.67455,                0.88498,                0.95143,                0.97165,                0.99431,                0.99096,                0.16903,                0.18471,                0.78794,               0.004852,               0.004852,               0.004852
                     28,                0.29172,                0.65233,                0.88253,                 0.9628,                0.98214,                0.99448,                0.99212,                0.16565,                0.17179,                 0.7866,               0.004654,               0.004654,               0.004654
                     29,                0.28958,                0.64369,                0.88245,                0.96797,                0.98061,                0.99429,                0.99139,                0.16369,                0.16539,                0.78673,               0.004456,               0.004456,               0.004456
                     30,                0.28137,                0.61847,                0.87972,                0.97068,                0.98586,                0.99484,                0.99194,                0.16115,                0.15744,                0.78657,               0.004258,               0.004258,               0.004258
                     31,                0.27926,                  0.608,                0.87808,                 0.9674,                0.98554,                0.99484,                 0.9932,                0.15895,                0.15531,                0.78511,                0.00406,                0.00406,                0.00406
                     32,                0.27535,                0.59922,                0.87659,                0.96981,                0.98199,                 0.9949,                0.99354,                0.15273,                 0.1537,                0.78203,               0.003862,               0.003862,               0.003862
                     33,                0.26966,                0.57511,                0.87621,                0.97664,                0.98508,                  0.995,                0.99371,                0.15073,                0.14508,                0.78108,               0.003664,               0.003664,               0.003664
                     34,                0.26495,                0.56402,                0.87429,                0.97594,                0.98892,                  0.995,                0.99391,                 0.1486,                0.13969,                0.77964,               0.003466,               0.003466,               0.003466
                     35,                0.26549,                0.55926,                0.87455,                0.97827,                0.98807,                  0.995,                0.99385,                0.14302,                0.13525,                0.77804,               0.003268,               0.003268,               0.003268
                     36,                0.25995,                0.54217,                0.87269,                 0.9773,                0.98781,                  0.995,                0.99395,                0.14267,                0.13353,                 0.7778,                0.00307,                0.00307,                0.00307
                     37,                0.25693,                0.53288,                0.87277,                0.97787,                0.98915,                  0.995,                0.99417,                0.14086,                0.13083,                0.77736,               0.002872,               0.002872,               0.002872
                     38,                0.25155,                0.51701,                0.87035,                0.97934,                0.99108,                  0.995,                0.99424,                 0.1388,                0.12556,                0.77609,               0.002674,               0.002674,               0.002674
                     39,                0.24689,                0.49874,                 0.8677,                0.97957,                0.98881,                  0.995,                0.99436,                0.13672,                0.12616,                0.77569,               0.002476,               0.002476,               0.002476
                     40,                0.19272,                0.30099,                0.83394,                0.98154,                0.99068,                  0.995,                0.99442,                0.13369,                0.12462,                0.77423,               0.002278,               0.002278,               0.002278
                     41,                0.18534,                 0.2739,                0.83202,                0.98156,                0.99228,                0.99484,                0.99409,                0.13162,                0.12157,                0.77343,                0.00208,                0.00208,                0.00208
                     42,                0.17931,                0.25718,                0.82829,                0.98276,                0.99222,                  0.995,                0.99451,                0.12798,                0.11809,                 0.7721,               0.001882,               0.001882,               0.001882
                     43,                0.17471,                 0.2469,                0.82764,                0.98244,                0.99252,                  0.995,                0.99446,                0.12522,                0.11536,                0.77121,               0.001684,               0.001684,               0.001684
                     44,                 0.1698,                0.23048,                0.82399,                0.98288,                0.99212,                  0.995,                0.99472,                0.12428,                 0.1139,                 0.7707,               0.001486,               0.001486,               0.001486
                     45,                0.16545,                0.22167,                  0.824,                0.98262,                0.99302,                  0.995,                0.99469,                0.12216,                0.11092,                0.76999,               0.001288,               0.001288,               0.001288
                     46,                0.15986,                0.21058,                0.81882,                0.98254,                0.99286,                  0.995,                0.99451,                0.12096,                0.10984,                0.76931,                0.00109,                0.00109,                0.00109
                     47,                0.15534,                0.19902,                0.81778,                0.98325,                0.99273,                  0.995,                0.99468,                0.11865,                0.10653,                0.76854,               0.000892,               0.000892,               0.000892
                     48,                0.15012,                0.18727,                0.81468,                0.98349,                0.99234,                  0.995,                 0.9948,                 0.1171,                0.10581,                0.76798,               0.000694,               0.000694,               0.000694
                     49,                0.14604,                0.17758,                0.81487,                0.98357,                0.99244,                  0.995,                0.99475,                0.11588,                0.10409,                0.76745,               0.000496,               0.000496,               0.000496
