                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8248,                 5.6648,                 1.1947,                0.00088,                0.07772,                0.00209,                0.00172,                 0.6062,                 4.8553,                 1.0984,             6.6537e-06,             6.6537e-06,             6.6537e-06
                      1,                0.61629,                   5.34,                 1.0604,                0.00235,                0.28779,                0.01211,                0.01066,                0.46127,                  4.491,                0.96479,             1.2832e-05,             1.2832e-05,             1.2832e-05
                      2,                0.55661,                 5.0771,                 1.0299,                0.00376,                0.48399,                0.01891,                0.01741,                0.40756,                 4.1705,                 0.9284,             1.8521e-05,             1.8521e-05,             1.8521e-05
                      3,                0.53336,                 4.8126,                 1.0221,                0.09815,                0.36893,                 0.0474,                0.04481,                0.39388,                 3.8219,                0.93287,               1.78e-05,               1.78e-05,               1.78e-05
                      4,                0.51661,                 4.5463,                 1.0186,                0.68273,                0.06964,                0.08942,                0.08473,                 0.3721,                 3.4624,                0.93996,               1.78e-05,               1.78e-05,               1.78e-05
                      5,                0.50573,                 4.2956,                 1.0171,                0.61182,                0.13796,                0.14181,                0.13411,                0.38015,                 3.1902,                0.95529,             1.7067e-05,             1.7067e-05,             1.7067e-05
                      6,                0.49131,                 4.0703,                 1.0131,                0.58644,                0.19372,                0.19801,                0.18738,                0.38778,                  2.983,                0.96152,             1.6333e-05,             1.6333e-05,             1.6333e-05
                      7,                0.47376,                 3.8857,                 1.0033,                0.50918,                0.27342,                0.25138,                0.23907,                 0.3663,                 2.7583,                0.95194,               1.56e-05,               1.56e-05,               1.56e-05
                      8,                 0.4654,                 3.7212,                 1.0001,                0.47867,                0.33907,                0.31102,                0.29732,                0.34047,                 2.5817,                0.93607,             1.4867e-05,             1.4867e-05,             1.4867e-05
                      9,                0.45863,                 3.5784,                 0.9973,                 0.5303,                0.37744,                0.36418,                0.34817,                0.34595,                  2.454,                0.93317,             1.4133e-05,             1.4133e-05,             1.4133e-05
                     10,                0.45113,                 3.4573,                0.99108,                0.51177,                0.40915,                0.39924,                0.38402,                0.33309,                 2.3284,                0.92485,               1.34e-05,               1.34e-05,               1.34e-05
                     11,                0.44063,                 3.3499,                0.98576,                0.52561,                0.43373,                 0.4476,                0.42982,                0.33451,                 2.2115,                0.92592,             1.2667e-05,             1.2667e-05,             1.2667e-05
                     12,                0.43256,                 3.2423,                0.98096,                0.51973,                0.47561,                0.48758,                0.47015,                0.32406,                 2.1133,                0.91711,             1.1933e-05,             1.1933e-05,             1.1933e-05
                     13,                0.42749,                 3.1717,                0.98007,                0.51278,                0.50638,                 0.5133,                0.49499,                0.31762,                 2.0418,                0.91435,               1.12e-05,               1.12e-05,               1.12e-05
                     14,                0.42272,                  3.084,                  0.974,                0.54781,                0.52254,                0.55268,                0.53416,                0.30673,                 1.9434,                0.90674,             1.0467e-05,             1.0467e-05,             1.0467e-05
                     15,                0.41148,                 2.9921,                0.96777,                0.57429,                0.52447,                 0.5755,                0.55687,                0.30232,                 1.8933,                  0.905,             9.7333e-06,             9.7333e-06,             9.7333e-06
                     16,                0.40924,                 2.9502,                0.96785,                0.57622,                0.55744,                0.59938,                0.58004,                0.30051,                 1.8193,                 0.8983,                  9e-06,                  9e-06,                  9e-06
                     17,                0.35023,                 2.8802,                0.96967,                0.55695,                0.58344,                0.62476,                0.60481,                0.29714,                 1.6962,                0.89316,             8.2667e-06,             8.2667e-06,             8.2667e-06
                     18,                0.32995,                 2.7574,                0.95086,                0.60073,                0.58883,                 0.6557,                0.63651,                0.28457,                  1.628,                0.88308,             7.5333e-06,             7.5333e-06,             7.5333e-06
                     19,                0.32024,                 2.6723,                0.94059,                0.59322,                0.63796,                0.68627,                0.66682,                0.28486,                 1.5637,                0.88255,                6.8e-06,                6.8e-06,                6.8e-06
                     20,                0.31753,                 2.6205,                 0.9402,                0.62944,                0.64312,                0.70586,                0.68729,                0.27991,                 1.5048,                0.87769,             6.0667e-06,             6.0667e-06,             6.0667e-06
                     21,                0.31191,                 2.5613,                0.93357,                0.64017,                 0.6494,                 0.7201,                0.70128,                0.27521,                 1.4626,                0.87476,             5.3333e-06,             5.3333e-06,             5.3333e-06
                     22,                0.31088,                 2.5187,                0.93394,                0.63141,                0.66244,                0.73462,                0.71646,                0.27302,                 1.4277,                0.87331,                4.6e-06,                4.6e-06,                4.6e-06
                     23,                  0.307,                 2.4888,                0.92689,                0.64379,                0.67545,                0.74846,                0.73118,                0.27097,                 1.3945,                0.87176,             3.8667e-06,             3.8667e-06,             3.8667e-06
                     24,                0.30503,                 2.4576,                0.92878,                0.66258,                 0.6819,                0.75527,                0.73714,                0.27084,                 1.3687,                0.87113,             3.1333e-06,             3.1333e-06,             3.1333e-06
                     25,                0.30292,                 2.4289,                0.92602,                0.66098,                 0.6814,                0.75892,                 0.7417,                0.26664,                 1.3576,                0.86861,                2.4e-06,                2.4e-06,                2.4e-06
                     26,                0.29946,                 2.4135,                0.92254,                0.64039,                0.70371,                0.76504,                0.74769,                0.26585,                 1.3419,                0.86792,             1.6667e-06,             1.6667e-06,             1.6667e-06
