                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.32801,                 1.3523,                0.89021,                0.48341,                0.70141,                0.65449,                0.63871,                0.28368,                  1.229,                0.88305,                0.00604,                0.00604,                0.00604
                     22,                0.32708,                 1.3213,                0.89151,                0.49761,                0.70735,                0.66564,                 0.6486,                0.28417,                 1.1858,                0.88719,               0.005842,               0.005842,               0.005842
                     23,                0.32281,                 1.2957,                0.89079,                0.50891,                0.71681,                 0.6683,                0.65451,                0.27071,                  1.187,                0.87322,               0.005644,               0.005644,               0.005644
                     24,                0.31994,                 1.2684,                0.88844,                0.56197,                0.68724,                 0.6918,                0.67678,                0.27724,                 1.1598,                0.87596,               0.005446,               0.005446,               0.005446
                     25,                0.31865,                 1.2275,                0.88672,                0.51545,                0.69121,                0.66976,                0.65779,                0.26175,                 1.2007,                 0.8694,               0.005248,               0.005248,               0.005248
                     26,                0.31252,                 1.2158,                0.88597,                0.52201,                 0.7564,                0.69743,                0.68541,                 0.2604,                 1.1049,                 0.8643,                0.00505,                0.00505,                0.00505
                     27,                0.30926,                 1.1876,                0.88542,                0.53858,                0.70669,                0.68351,                0.67007,                0.26469,                 1.1543,                0.86906,               0.004852,               0.004852,               0.004852
                     28,                0.30797,                 1.1575,                 0.8833,                0.53106,                0.73085,                0.70717,                0.69401,                0.25486,                 1.0872,                0.86359,               0.004654,               0.004654,               0.004654
                     29,                 0.3035,                 1.1467,                0.88335,                0.51109,                0.74105,                0.69823,                0.68734,                0.25443,                  1.113,                0.86208,               0.004456,               0.004456,               0.004456
                     30,                0.29948,                 1.1106,                0.88053,                0.53309,                0.72371,                0.70225,                0.69072,                 0.2523,                 1.0943,                0.86005,               0.004258,               0.004258,               0.004258
                     31,                0.29377,                 1.0887,                0.87796,                0.52191,                0.75337,                0.70443,                0.69295,                0.25227,                 1.0743,                0.86119,                0.00406,                0.00406,                0.00406
                     32,                0.29268,                 1.0695,                0.87783,                 0.5343,                0.73773,                0.70735,                0.69756,                0.24542,                 1.0826,                0.85526,               0.003862,               0.003862,               0.003862
                     33,                0.28899,                 1.0593,                0.87839,                0.54606,                0.75163,                0.71588,                0.70489,                0.24576,                 1.0216,                0.85507,               0.003664,               0.003664,               0.003664
                     34,                0.28715,                 1.0296,                 0.8771,                0.52951,                0.75694,                0.71075,                0.69975,                 0.2469,                 1.0353,                  0.856,               0.003466,               0.003466,               0.003466
                     35,                0.28278,                 1.0087,                0.87592,                0.53537,                 0.7673,                0.71259,                 0.7024,                0.23997,                 1.0477,                0.84984,               0.003268,               0.003268,               0.003268
                     36,                0.28035,                0.99166,                0.87439,                0.53383,                0.74869,                0.70405,                 0.6935,                0.24219,                 1.0758,                0.85243,                0.00307,                0.00307,                0.00307
                     37,                0.27854,                0.97856,                0.87368,                 0.5314,                0.75817,                0.70635,                0.69498,                0.23609,                 1.0732,                0.84692,               0.002872,               0.002872,               0.002872
                     38,                0.27423,                0.95038,                0.87409,                0.54976,                0.73185,                0.70686,                 0.6977,                 0.2357,                 1.0592,                0.84736,               0.002674,               0.002674,               0.002674
                     39,                0.27195,                0.92319,                0.87259,                0.54546,                0.74724,                0.70546,                0.69562,                0.23612,                 1.0761,                0.84689,               0.002476,               0.002476,               0.002476
                     40,                0.22983,                0.78184,                 0.8496,                0.54043,                0.74765,                0.69607,                0.68672,                0.23806,                 1.0935,                0.84861,               0.002278,               0.002278,               0.002278
                     41,                0.22429,                0.75074,                0.84713,                0.53762,                 0.7567,                0.70071,                 0.6917,                0.23409,                  1.065,                0.84598,                0.00208,                0.00208,                0.00208
                     42,                0.21938,                0.71421,                0.84393,                0.54559,                 0.7369,                0.69267,                0.68462,                0.22829,                 1.0912,                0.84123,               0.001882,               0.001882,               0.001882
                     43,                0.21519,                0.68318,                0.84129,                0.54202,                0.73731,                0.69293,                0.68464,                0.22827,                 1.1139,                0.84224,               0.001684,               0.001684,               0.001684
