                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.53527,                 5.1664,                  1.008,                0.00297,                0.44916,                0.01198,                0.01027,                0.62959,                 4.2145,                 1.1526,              0.0033252,              0.0033252,              0.0033252
                      1,                 0.5377,                 4.2654,                  1.012,                0.49001,                0.13067,                 0.0676,                0.06255,                0.50525,                 3.4848,                  1.092,              0.0065267,              0.0065267,              0.0065267
                      2,                0.53276,                  3.546,                0.99127,                0.48732,                0.26493,                 0.1101,                0.09516,                0.71388,                 3.7499,                 1.3622,              0.0095962,              0.0095962,              0.0095962
                      3,                0.52359,                 3.1761,                0.98114,                0.49943,                0.30994,                0.20606,                 0.1907,                0.48001,                 2.8377,                 1.0662,               0.009406,               0.009406,               0.009406
                      4,                0.47617,                  2.878,                0.95568,                0.47842,                0.29451,                0.22777,                0.21407,                0.43262,                 2.6641,                 1.0195,               0.009406,               0.009406,               0.009406
                      5,                0.45056,                  2.657,                0.94708,                0.47227,                0.25011,                 0.1869,                 0.1734,                0.44333,                 3.0093,                 1.0168,               0.009208,               0.009208,               0.009208
                      6,                0.42914,                 2.4757,                0.93462,                0.49581,                0.37637,                 0.3361,                0.31845,                0.41284,                 2.3339,                0.99846,                0.00901,                0.00901,                0.00901
                      7,                0.41374,                 2.3305,                 0.9288,                0.48253,                0.46484,                0.43818,                0.41865,                0.35702,                 1.9837,                0.94279,               0.008812,               0.008812,               0.008812
                      8,                0.40235,                 2.2068,                0.92286,                0.50828,                0.43368,                 0.4059,                0.38524,                0.38648,                 2.0406,                 0.9719,               0.008614,               0.008614,               0.008614
                      9,                0.39549,                 2.0827,                 0.9186,                0.42398,                0.46057,                0.40558,                0.38483,                0.40725,                 2.0792,                0.97795,               0.008416,               0.008416,               0.008416
                     10,                0.38432,                 1.9739,                0.91585,                 0.4288,                0.51842,                0.48388,                0.46733,                0.32663,                 1.7925,                0.92087,               0.008218,               0.008218,               0.008218
                     11,                0.37782,                 1.8842,                0.91108,                 0.4553,                0.56152,                0.51934,                0.49912,                0.33638,                 1.7194,                0.91766,                0.00802,                0.00802,                0.00802
                     12,                0.37192,                  1.799,                0.90934,                0.42011,                0.55921,                0.51617,                 0.4979,                0.32018,                 1.7055,                0.91347,               0.007822,               0.007822,               0.007822
                     13,                 0.3637,                 1.7162,                0.90714,                0.44262,                0.60396,                0.54953,                0.53016,                0.31808,                 1.5615,                 0.9154,               0.007624,               0.007624,               0.007624
                     14,                0.35982,                 1.6512,                0.90181,                0.44799,                0.61405,                 0.5687,                0.55121,                 0.3005,                 1.5145,                0.89581,               0.007426,               0.007426,               0.007426
                     15,                0.35757,                 1.5999,                0.90269,                0.50863,                0.52215,                0.52116,                0.50351,                0.31306,                  1.751,                0.90243,               0.007228,               0.007228,               0.007228
                     16,                0.34953,                 1.5456,                0.90061,                0.46131,                0.64224,                0.60551,                0.58677,                0.31155,                 1.4309,                0.90424,                0.00703,                0.00703,                0.00703
                     17,                0.34478,                 1.5067,                 0.8998,                0.47023,                0.65609,                0.62541,                0.60954,                0.29525,                 1.3284,                0.88725,               0.006832,               0.006832,               0.006832
                     18,                0.34124,                 1.4628,                 0.8954,                0.48696,                0.58833,                 0.5657,                0.55062,                0.29856,                 1.5623,                0.89371,               0.006634,               0.006634,               0.006634
                     19,                0.33787,                 1.4339,                0.89717,                0.48136,                0.63537,                0.62748,                0.61117,                0.29497,                 1.3549,                0.89359,               0.006436,               0.006436,               0.006436
                     20,                0.33818,                 1.3986,                0.89574,                0.49083,                0.69249,                0.63958,                0.62492,                0.28953,                  1.261,                0.88698,               0.006238,               0.006238,               0.006238
